  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	      Fx	      Fy	      Fz	     rpm	     Rho
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	       N	       N	       N	   1/min	  kg/m^3
      35	 16:27:20	  20.000	   97.24	 1013.28	   23.16	   3.886	   9.526	  -0.244	   750.1	   1.191
      36	 16:27:41	  19.000	   95.51	 1013.34	   23.19	   3.691	   9.608	  -0.259	   750.1	   1.191
      37	 16:27:52	  17.445	   95.36	 1013.31	   23.20	   3.327	   9.768	  -0.229	   750.3	   1.191
      38	 16:27:58	  17.000	   93.27	 1013.31	   23.21	   3.306	  10.081	  -0.217	   749.9	   1.191
      39	 16:28:08	  16.000	   97.40	 1013.29	   23.21	   3.096	  10.719	  -0.204	   750.5	   1.191
      40	 16:28:18	  15.000	   96.80	 1013.28	   23.22	   2.637	  11.503	  -0.208	   749.9	   1.191
      41	 16:28:29	  14.000	   95.76	 1013.28	   23.24	   1.602	  11.995	  -0.248	   749.8	   1.191
      42	 16:28:41	  13.000	   97.78	 1013.26	   23.25	   1.440	  11.974	  -0.229	   749.8	   1.191
      43	 16:28:51	  12.000	   96.50	 1013.26	   23.25	   1.287	  11.475	  -0.212	   749.7	   1.191
      44	 16:29:02	  11.000	   96.23	 1013.26	   23.26	   1.146	  11.132	  -0.196	   750.0	   1.191
      45	 16:29:15	  10.000	   97.55	 1013.25	   23.26	   0.999	  10.573	  -0.182	   749.7	   1.191
      46	 16:29:24	   9.000	   97.01	 1013.26	   23.27	   0.887	   9.749	  -0.167	   750.0	   1.191
      47	 16:29:32	   8.000	   98.11	 1013.29	   23.27	   0.796	   9.032	  -0.162	   749.9	   1.191
      48	 16:29:41	   7.000	   97.90	 1013.29	   23.27	   0.707	   8.164	  -0.151	   750.0	   1.191
      49	 16:29:50	   6.000	   98.30	 1013.24	   23.28	   0.629	   7.186	  -0.143	   750.3	   1.191
      50	 16:29:58	   5.000	   98.35	 1013.27	   23.28	   0.573	   6.275	  -0.142	   750.0	   1.191
      51	 16:30:07	   4.000	   95.91	 1013.29	   23.29	   0.509	   5.308	  -0.141	   749.7	   1.191
      52	 16:30:16	   3.000	   96.84	 1013.28	   23.29	   0.463	   4.403	  -0.138	   750.3	   1.191
      53	 16:30:37	   1.000	   97.83	 1013.26	   23.29	   0.393	   2.686	  -0.148	   749.9	   1.191
      54	 16:30:46	  -0.008	   98.04	 1013.28	   23.29	   0.370	   1.356	  -0.163	   749.6	   1.191
