XFLR5 v6.02 Beta

Wing name :        Rounded tunnel shape
Wing polar name :  T1-18.0 m/s-LLT
Freestream speed :  18.000 m/s

   alpha      CL          ICd        PCd        TCd        CY        Cm         Rm         Ym       IYm       QInf        XCP
 _________  ________   ________  _________  _________  _________  _________  _________  _________  _________  _________  _________
   -2.000  -0.024744   0.000041   0.010621   0.010663   0.000000  -0.030976   0.000059  -0.000001  -0.000000   18.0000    -0.0098
   -1.500   0.008261   0.000003   0.011011   0.011014   0.000000  -0.034108   0.000001  -0.000000   0.000000   18.0000     0.5325
   -1.000   0.053762   0.000174   0.011193   0.011367   0.000000  -0.046454   0.000000  -0.000000   0.000000   18.0000     0.2753
   -0.500   0.104378   0.000666   0.011264   0.011930   0.000000  -0.061844   0.000000   0.000000   0.000000   18.0000     0.1076
    0.000   0.159237   0.001558   0.011226   0.012784   0.000000  -0.079715   0.000000   0.000000   0.000000   18.0000     0.0833
    0.500   0.212034   0.002773   0.011152   0.013925   0.000000  -0.096809   0.000000   0.000000   0.000000   18.0000     0.0746
    1.000   0.264145   0.004315   0.011016   0.015330   0.000000  -0.113820  -0.000000   0.000000   0.000000   18.0000     0.0697
    1.500   0.313204   0.006097   0.010840   0.016937   0.000000  -0.129514  -0.000000   0.000000   0.000000   18.0000     0.0663
    2.000   0.351420   0.007741   0.010731   0.018472   0.000000  -0.139603  -0.000000   0.000000   0.000000   18.0000     0.0634
    2.500   0.385927   0.009405   0.010666   0.020070   0.000000  -0.147852  -0.000000   0.000000   0.000000   18.0000     0.0611
    3.000   0.419191   0.011146   0.010618   0.021764   0.000000  -0.155203  -0.000000   0.000000   0.000000   18.0000     0.0590
    3.500   0.452072   0.013003   0.010605   0.023608   0.000000  -0.162287  -0.000000   0.000000   0.000000   18.0000     0.0571
    4.000   0.484811   0.014977   0.010616   0.025593   0.000000  -0.169168  -0.000000   0.000000   0.000000   18.0000     0.0554
    4.500   0.517384   0.017075   0.010632   0.027707   0.000000  -0.175808  -0.000000   0.000000   0.000000   18.0000     0.0539
    5.000   0.549905   0.019314   0.010669   0.029983   0.000000  -0.182451  -0.000000   0.000000   0.000000   18.0000     0.0526
    5.500   0.582974   0.021697   0.010743   0.032440   0.000000  -0.189211  -0.000000   0.000000   0.000000   18.0000     0.0514
    6.000   0.615929   0.024237   0.010809   0.035046   0.000000  -0.195905  -0.000000   0.000000   0.000000   18.0000     0.0503
    6.500   0.648773   0.026901   0.010899   0.037799   0.000000  -0.202481  -0.000000   0.000000   0.000000   18.0000     0.0493
    7.000   0.681366   0.029688   0.011047   0.040735   0.000000  -0.208919  -0.000000   0.000000   0.000000   18.0000     0.0484
    7.500   0.713684   0.032582   0.011278   0.043861   0.000000  -0.215189  -0.000000   0.000000   0.000000   18.0000     0.0476
    8.000   0.745355   0.035571   0.011643   0.047215   0.000000  -0.221264  -0.000000   0.000000   0.000000   18.0000     0.0468
    8.500   0.775754   0.038576   0.012208   0.050784   0.000000  -0.226895  -0.000000   0.000000   0.000000   18.0000     0.0460
    9.000   0.804308   0.041559   0.013017   0.054576   0.000000  -0.231923  -0.000000   0.000000   0.000000   18.0000     0.0453
    9.500   0.830694   0.044461   0.014154   0.058615   0.000000  -0.236324  -0.000000   0.000000   0.000000   18.0000     0.0447
   10.000   0.854807   0.047234   0.015698   0.062932   0.000000  -0.239813  -0.000000   0.000000   0.000000   18.0000     0.0440
   10.500   0.877466   0.049958   0.017436   0.067394   0.000000  -0.242597  -0.000000   0.000000   0.000000   18.0000     0.0433
   11.000   0.899333   0.052663   0.019230   0.071893   0.000000  -0.245043  -0.000000   0.000000   0.000000   18.0000     0.0426
   11.500   0.920314   0.055326   0.021076   0.076402   0.000000  -0.247207  -0.000000   0.000000   0.000000   18.0000     0.0419
   12.000   0.939786   0.057910   0.023081   0.080991   0.000000  -0.248956  -0.000000   0.000000   0.000000   18.0000     0.0413
   12.500   0.956446   0.060281   0.025642   0.085924   0.000000  -0.249964  -0.000000   0.000000   0.000000   18.0000     0.0406
   13.000   0.968141   0.062267   0.029222   0.091489   0.000000  -0.249696  -0.000000   0.000000   0.000000   18.0000     0.0400


