XFLR5 v6.02 Beta

Wing name :        DoubleWing
Wing polar name :  T1-18.0 m/s-LLT-2
Freestream speed :  18.000 m/s

   alpha      CL          ICd        PCd        TCd        CY        Cm         Rm         Ym       IYm       QInf        XCP
 _________  ________   ________  _________  _________  _________  _________  _________  _________  _________  _________  _________
   -2.000  -0.023041   0.000036   0.010900   0.010936   0.000000  -0.031491   0.000057  -0.000000  -0.000000   18.0000     0.1071
   -1.500   0.007493   0.000003   0.011072   0.011075   0.000000  -0.033666   0.000001  -0.000000   0.000000   18.0000     0.5767
   -1.000   0.053646   0.000173   0.011216   0.011389   0.000000  -0.046371   0.000000  -0.000000   0.000000   18.0000     0.2884
   -0.500   0.104484   0.000667   0.011273   0.011940   0.000000  -0.061872   0.000000   0.000000   0.000000   18.0000     0.1086
    0.000   0.159138   0.001557   0.011231   0.012788   0.000000  -0.079663   0.000000   0.000000   0.000000   18.0000     0.0836
    0.500   0.212485   0.002784   0.011137   0.013921   0.000000  -0.097102   0.000000   0.000000   0.000000   18.0000     0.0748
    1.000   0.263826   0.004307   0.011004   0.015311   0.000000  -0.113745  -0.000000   0.000000   0.000000   18.0000     0.0697
    1.500   0.311392   0.006030   0.010854   0.016884   0.000000  -0.128626  -0.000000   0.000000   0.000000   18.0000     0.0662
    2.000   0.350712   0.007718   0.010747   0.018465   0.000000  -0.139317  -0.000000   0.000000   0.000000   18.0000     0.0634
    2.500   0.385600   0.009393   0.010679   0.020072   0.000000  -0.147727  -0.000000   0.000000   0.000000   18.0000     0.0611
    3.000   0.418980   0.011138   0.010644   0.021782   0.000000  -0.155138  -0.000000   0.000000   0.000000   18.0000     0.0590
    3.500   0.451949   0.013004   0.010630   0.023635   0.000000  -0.162275  -0.000000   0.000000   0.000000   18.0000     0.0571
    4.000   0.484668   0.014971   0.010637   0.025609   0.000000  -0.169126  -0.000000   0.000000   0.000000   18.0000     0.0555
    4.500   0.517459   0.017066   0.010658   0.027725   0.000000  -0.175852  -0.000000   0.000000   0.000000   18.0000     0.0540
    5.000   0.550026   0.019303   0.010689   0.029992   0.000000  -0.182493  -0.000000   0.000000   0.000000   18.0000     0.0526
    5.500   0.582934   0.021691   0.010754   0.032444   0.000000  -0.189191  -0.000000   0.000000   0.000000   18.0000     0.0514
    6.000   0.615851   0.024227   0.010823   0.035050   0.000000  -0.195862  -0.000000   0.000000   0.000000   18.0000     0.0503
    6.500   0.648689   0.026890   0.010916   0.037806   0.000000  -0.202435  -0.000000   0.000000   0.000000   18.0000     0.0493
    7.000   0.681310   0.029682   0.011063   0.040745   0.000000  -0.208895  -0.000000   0.000000   0.000000   18.0000     0.0484
    7.500   0.713638   0.032579   0.011296   0.043875   0.000000  -0.215177  -0.000000   0.000000   0.000000   18.0000     0.0476
    8.000   0.745308   0.035567   0.011658   0.047226   0.000000  -0.221251  -0.000000   0.000000   0.000000   18.0000     0.0468
    8.500   0.775665   0.038574   0.012223   0.050797   0.000000  -0.226869  -0.000000   0.000000   0.000000   18.0000     0.0460
    9.000   0.804125   0.041545   0.013045   0.054589   0.000000  -0.231852  -0.000000   0.000000   0.000000   18.0000     0.0453
    9.500   0.830794   0.044467   0.014151   0.058618   0.000000  -0.236356  -0.000000   0.000000   0.000000   18.0000     0.0447
   10.000   0.854855   0.047238   0.015700   0.062938   0.000000  -0.239829  -0.000000   0.000000   0.000000   18.0000     0.0440
   10.500   0.877444   0.049951   0.017449   0.067400   0.000000  -0.242582  -0.000000   0.000000   0.000000   18.0000     0.0433
   11.000   0.899240   0.052652   0.019248   0.071900   0.000000  -0.245004  -0.000000   0.000000   0.000000   18.0000     0.0426
   11.500   0.920282   0.055323   0.021087   0.076410   0.000000  -0.247193  -0.000000   0.000000   0.000000   18.0000     0.0419
   12.000   0.939753   0.057911   0.023100   0.081011   0.000000  -0.248947  -0.000000   0.000000   0.000000   18.0000     0.0413
   12.500   0.956280   0.060263   0.025722   0.085985   0.000000  -0.249892  -0.000000   0.000000   0.000000   18.0000     0.0406
   13.000   0.967446   0.062212   0.029402   0.091614   0.000000  -0.249470  -0.000000   0.000000   0.000000   18.0000     0.0400


