XFLR5 v6.02 Beta

Wing name :        Rounded tunnel shape
Wing polar name :  T1-18.0 m/s-Panel
Freestream speed :  18.000 m/s

   alpha      CL          ICd        PCd        TCd        CY        Cm         Rm         Ym       IYm       QInf        XCP
 _________  ________   ________  _________  _________  _________  _________  _________  _________  _________  _________  _________
   -3.500  -0.143202   0.001214   0.014832   0.016045   0.000000   0.007852   0.000000   0.000000   0.000000   18.0000     0.0077
   -3.000  -0.107197   0.000679   0.013940   0.014619   0.000000  -0.000685  -0.000000   0.000000  -0.000000   18.0000    -0.0022
   -2.500  -0.071168   0.000298   0.012438   0.012736   0.000000  -0.009238   0.000000   0.000000   0.000000   18.0000    -0.0223
   -2.000  -0.035121   0.000072   0.010903   0.010975   0.000000  -0.017806   0.000000   0.000000   0.000000   18.0000    -0.0837
   -1.500   0.000936   0.000001   0.011085   0.011087   0.000000  -0.026389   0.000000  -0.000000   0.000000   18.0000     4.5814
   -1.000   0.036998   0.000086   0.011294   0.011380   0.000000  -0.034983  -0.000000  -0.000000   0.000000   18.0000     0.1525
   -0.500   0.073056   0.000325   0.011422   0.011746   0.000000  -0.043583   0.000000   0.000000  -0.000000   18.0000     0.0958
    0.000   0.109105   0.000719   0.011434   0.012153   0.000000  -0.052189   0.000000  -0.000000  -0.000000   18.0000     0.0765
    0.500   0.145137   0.001268   0.011410   0.012678   0.000000  -0.060796   0.000000   0.000000   0.000000   18.0000     0.0669
    1.000   0.181146   0.001972   0.011371   0.013343   0.000000  -0.069403   0.000000   0.000000   0.000000   18.0000     0.0610
    1.500   0.217125   0.002829   0.011318   0.014147   0.000000  -0.078007  -0.000000   0.000000  -0.000000   18.0000     0.0571
    2.000   0.253067   0.003841   0.011236   0.015077   0.000000  -0.086605  -0.000000   0.000000  -0.000000   18.0000     0.0543
    2.500   0.288965   0.005005   0.011110   0.016115   0.000000  -0.095195  -0.000000   0.000000   0.000000   18.0000     0.0522
    3.000   0.324813   0.006321   0.010982   0.017303   0.000000  -0.103774  -0.000000  -0.000000  -0.000000   18.0000     0.0506
    3.500   0.360604   0.007789   0.010886   0.018675   0.000000  -0.112340   0.000000  -0.000000  -0.000000   18.0000     0.0493
    4.000   0.396331   0.009407   0.010822   0.020229   0.000000  -0.120889  -0.000000  -0.000000  -0.000000   18.0000     0.0482
    4.500   0.431987   0.011174   0.010781   0.021955   0.000000  -0.129420   0.000000  -0.000000  -0.000000   18.0000     0.0473
    5.000   0.467567   0.013088   0.010779   0.023867   0.000000  -0.137929   0.000000   0.000000  -0.000000   18.0000     0.0465
    5.500   0.503062   0.015150   0.010785   0.025935   0.000000  -0.146415   0.000000   0.000000   0.000000   18.0000     0.0458
    6.000   0.538468   0.017356   0.010815   0.028171   0.000000  -0.154874  -0.000000  -0.000000  -0.000000   18.0000     0.0452
    6.500   0.573777   0.019706   0.010883   0.030589   0.000000  -0.163304   0.000000  -0.000000  -0.000000   18.0000     0.0447
    7.000   0.608982   0.022197   0.010948   0.033145   0.000000  -0.171702   0.000000  -0.000000  -0.000000   18.0000     0.0442
    7.500   0.644079   0.024829   0.011042   0.035871   0.000000  -0.180066  -0.000000  -0.000000  -0.000000   18.0000     0.0438
    8.000   0.679059   0.027598   0.011206   0.038804   0.000000  -0.188394   0.000000   0.000000   0.000000   18.0000     0.0434
    8.500   0.713917   0.030504   0.011474   0.041978   0.000000  -0.196682   0.000000  -0.000000  -0.000000   18.0000     0.0430
    9.000   0.748646   0.033544   0.011937   0.045480   0.000000  -0.204929   0.000000  -0.000000  -0.000000   18.0000     0.0427
    9.500   0.783241   0.036715   0.012743   0.049458   0.000000  -0.213131   0.000000  -0.000000  -0.000000   18.0000     0.0424
   10.000   0.817695   0.040016   0.014236   0.054252   0.000000  -0.221288  -0.000000  -0.000000  -0.000000   18.0000     0.0421
   10.500   0.852002   0.043444   0.016558   0.060002   0.000000  -0.229397   0.000000  -0.000000  -0.000000   18.0000     0.0418
   11.000   0.886156   0.046996   0.019222   0.066218   0.000000  -0.237454   0.000000  -0.000000  -0.000000   18.0000     0.0415


