XFLR5 v6.02 Beta

Rounded tunnel shape
T1-18.0 m/s-LLT-x0.000mm
QInf  =   18.000000 m/s
Alpha =   -3.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =   -0.078094
Cy    =    0.000000
Cd    =    0.013046     ICd   =    0.000407     PCd   =    0.012639
Cl   = 4.18528e-18
Cm   =  -0.0258879
ICn   =    0.000000     PCn   =    0.000000 
XCP   =   -0.058658     YCP   =    0.000000 
XNP   =    0.000000
Bend. =    0.000000

Rounded tunnel shape
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom      CmAirf      XTrtop    XTrBot      XCP       BM
   -0.4118     0.1552     1.067   -0.026728    0.010960    0.000498   -0.030425   -0.038035     0.8738    0.7783   -0.0979    0.0000
   -0.3965     0.1600     0.791   -0.046167    0.011077    0.000638   -0.029853   -0.041493     0.8807    0.5955   -0.7268   -0.0001
   -0.3715     0.1600     0.551   -0.060057    0.011714    0.000578   -0.029523   -0.044649     0.8901    0.3943   -0.5237   -0.0011
   -0.3373     0.1600     0.419   -0.069946    0.012206    0.000511   -0.028008   -0.045614     0.8948    0.2984   -0.4357   -0.0043
   -0.2948     0.1600     0.337   -0.076934    0.012566    0.000452   -0.026553   -0.045911     0.8975    0.2447   -0.3905   -0.0119
   -0.2450     0.1600     0.281   -0.081715    0.012812    0.000401   -0.025557   -0.046115     0.8994    0.2081   -0.3595   -0.0265
   -0.1893     0.1600     0.244   -0.084904    0.012977    0.000361   -0.024893   -0.046251     0.9007    0.1836   -0.3389   -0.0504
   -0.1288     0.1600     0.220   -0.086923    0.013080    0.000334   -0.024473   -0.046337     0.9015    0.1681   -0.3258   -0.0858
   -0.0652     0.1600     0.207   -0.088041    0.013138    0.000318   -0.024240   -0.046384     0.9019    0.1595   -0.3186   -0.1340
   -0.0000     0.1600     0.203   -0.088398    0.013156    0.000313   -0.024166   -0.046399     0.9020    0.1568   -0.3163   -0.1951
    0.0652     0.1600     0.207   -0.088041    0.013138    0.000318   -0.024240   -0.046384     0.9019    0.1595   -0.3186   -0.1340
    0.1288     0.1600     0.220   -0.086923    0.013080    0.000334   -0.024473   -0.046337     0.9015    0.1681   -0.3258   -0.0858
    0.1893     0.1600     0.244   -0.084904    0.012977    0.000361   -0.024893   -0.046251     0.9007    0.1836   -0.3389   -0.0504
    0.2450     0.1600     0.281   -0.081715    0.012812    0.000401   -0.025557   -0.046115     0.8994    0.2081   -0.3595   -0.0265
    0.2948     0.1600     0.337   -0.076934    0.012566    0.000452   -0.026553   -0.045911     0.8975    0.2447   -0.3905   -0.0119
    0.3373     0.1600     0.419   -0.069946    0.012206    0.000511   -0.028008   -0.045614     0.8948    0.2984   -0.4357   -0.0043
    0.3715     0.1600     0.551   -0.060057    0.011714    0.000578   -0.029523   -0.044649     0.8901    0.3943   -0.5237   -0.0011
    0.3965     0.1600     0.791   -0.046167    0.011077    0.000638   -0.029853   -0.041493     0.8807    0.5955   -0.7268   -0.0001
    0.4118     0.1552     1.067   -0.026728    0.010960    0.000498   -0.030425   -0.038035     0.8738    0.7783   -0.0979    0.0000




