XFLR5 v6.02 Beta

Rounded tunnel shape
T1-18.0 m/s-Panel-x0.000mm
QInf  =   18.000000 m/s
Alpha =   -3.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =   -0.107197
Cy    =    0.000000
Cd    =    0.014619     ICd   =    0.000679     PCd   =    0.013940
Cl   = 9.08204e-18
Cm   = -0.000684556
ICn   =    0.000000     PCn   =    0.000000 
XCP   =   -0.002246     YCP   =   -0.000000 
XNP   =    0.000000
Bend. =    0.000000

Rounded tunnel shape
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom      CmAirf      XTrtop    XTrBot      XCP       BM
   -0.4176     0.1453     2.012   -0.009810    0.011938    0.000345   -0.034329    0.019179     0.8767    0.7845    0.1145    0.0000
   -0.4162     0.1495     0.599   -0.018940    0.011551    0.000198   -0.004935    0.001968     0.8762    0.7664    0.1376   -0.0000
   -0.4139     0.1533     0.551   -0.027187    0.011151    0.000262   -0.000369   -0.007681     0.8756    0.7596   -0.0588   -0.0000
   -0.4107     0.1564     0.503   -0.034880    0.010803    0.000307   -0.001680   -0.014640     0.8756    0.7526   -0.0638   -0.0000
   -0.4069     0.1586     0.460   -0.042405    0.010937    0.000341   -0.003313   -0.019498     0.8788    0.6589   -0.0686   -0.0000
   -0.4026     0.1597     0.427   -0.050543    0.011284    0.000377   -0.003496   -0.022160     0.8838    0.5339   -0.0559   -0.0001
   -0.3833     0.1600     0.439   -0.063380    0.011866    0.000486   -0.008558   -0.030889     0.8922    0.3491   -0.1030   -0.0005
   -0.3500     0.1600     0.436   -0.080815    0.012764    0.000615   -0.007423   -0.034377     0.8991    0.2153   -0.0757   -0.0034
   -0.3167     0.1600     0.423   -0.093273    0.013406    0.000689   -0.005079   -0.035347     0.9040    0.1197   -0.0485   -0.0092
   -0.2833     0.1600     0.405   -0.102424    0.013877    0.000724   -0.002878   -0.035588     0.9076    0.0494   -0.0282   -0.0183
   -0.2500     0.1600     0.385   -0.109278    0.014114    0.000735   -0.001056   -0.035595     0.9101    0.0236   -0.0137   -0.0311
   -0.2167     0.1600     0.367   -0.114469    0.014211    0.000734    0.000392   -0.035532     0.9118    0.0230   -0.0032   -0.0478
   -0.1833     0.1600     0.351   -0.118414    0.014285    0.000727    0.001518   -0.035457     0.9131    0.0225    0.0044   -0.0686
   -0.1500     0.1600     0.338   -0.121393    0.014340    0.000717    0.002379   -0.035389     0.9141    0.0222    0.0100   -0.0936
   -0.1167     0.1600     0.328   -0.123597    0.014382    0.000708    0.003020   -0.035335     0.9148    0.0219    0.0140   -0.1229
   -0.0833     0.1600     0.321   -0.125154    0.014411    0.000701    0.003473   -0.035295     0.9153    0.0217    0.0167   -0.1566
   -0.0500     0.1600     0.316   -0.126149    0.014429    0.000696    0.003764   -0.035269     0.9157    0.0216    0.0185   -0.1948
   -0.0167     0.1600     0.313   -0.126634    0.014438    0.000693    0.003906   -0.035257     0.9158    0.0216    0.0193   -0.2375
    0.0167     0.1600     0.313   -0.126634    0.014438    0.000693    0.003906   -0.035257     0.9158    0.0216    0.0193   -0.2375
    0.0500     0.1600     0.316   -0.126149    0.014429    0.000696    0.003764   -0.035269     0.9157    0.0216    0.0185   -0.1948
    0.0833     0.1600     0.321   -0.125154    0.014411    0.000701    0.003473   -0.035295     0.9153    0.0217    0.0167   -0.1566
    0.1167     0.1600     0.328   -0.123597    0.014382    0.000708    0.003020   -0.035335     0.9148    0.0219    0.0140   -0.1229
    0.1500     0.1600     0.338   -0.121393    0.014340    0.000717    0.002379   -0.035389     0.9141    0.0222    0.0100   -0.0936
    0.1833     0.1600     0.351   -0.118414    0.014285    0.000727    0.001518   -0.035457     0.9131    0.0225    0.0044   -0.0686
    0.2167     0.1600     0.367   -0.114469    0.014211    0.000734    0.000392   -0.035532     0.9118    0.0230   -0.0032   -0.0478
    0.2500     0.1600     0.385   -0.109278    0.014114    0.000735   -0.001056   -0.035595     0.9101    0.0236   -0.0137   -0.0311
    0.2833     0.1600     0.405   -0.102424    0.013877    0.000724   -0.002878   -0.035588     0.9076    0.0494   -0.0282   -0.0183
    0.3167     0.1600     0.423   -0.093273    0.013406    0.000689   -0.005079   -0.035347     0.9040    0.1197   -0.0485   -0.0092
    0.3500     0.1600     0.436   -0.080815    0.012764    0.000615   -0.007423   -0.034377     0.8991    0.2153   -0.0757   -0.0034
    0.3833     0.1600     0.439   -0.063380    0.011866    0.000486   -0.008558   -0.030889     0.8922    0.3491   -0.1030   -0.0005
    0.4026     0.1597     0.427   -0.050543    0.011284    0.000377   -0.003496   -0.022160     0.8838    0.5339   -0.0559   -0.0001
    0.4069     0.1586     0.460   -0.042405    0.010937    0.000341   -0.003313   -0.019498     0.8788    0.6589   -0.0686   -0.0000
    0.4107     0.1564     0.503   -0.034880    0.010803    0.000307   -0.001680   -0.014640     0.8756    0.7526   -0.0638   -0.0000
    0.4139     0.1533     0.551   -0.027187    0.011151    0.000262   -0.000369   -0.007681     0.8756    0.7596   -0.0588   -0.0000
    0.4162     0.1495     0.599   -0.018940    0.011551    0.000198   -0.004935    0.001968     0.8762    0.7664    0.1376   -0.0000
    0.4176     0.1453     2.012   -0.009810    0.011938    0.000345   -0.034329    0.019179     0.8767    0.7845    0.1145    0.0000


Wing Cp Coefficients
 Panel     CtrlPt.x        CtrlPt.y        CtrlPt.z             Cp
Rounded tunnel shapeCp Coefficients
Strip 1
   8       1.572e-01      -4.166e-01      -9.943e-05         -0.0279
   9       1.466e-01      -4.166e-01      -7.589e-04         -0.0229
  10       1.269e-01      -4.166e-01      -2.188e-03         -0.0999
  11       1.013e-01      -4.166e-01      -3.746e-03         -0.1442
  12       7.346e-02      -4.166e-01      -4.652e-03         -0.1544
  13       4.777e-02      -4.166e-01      -4.575e-03         -0.1666
  14       2.812e-02      -4.166e-01      -3.424e-03         -0.2425
  15       1.748e-02      -4.166e-01      -1.398e-03         -0.2911
  16       1.748e-02      -4.166e-01       1.978e-03         -0.7515
  17       2.812e-02      -4.166e-01       6.188e-03         -0.9576
  18       4.777e-02      -4.166e-01       9.148e-03         -0.8075
  19       7.346e-02      -4.166e-01       9.755e-03         -0.2539
  20       1.013e-01      -4.166e-01       7.893e-03         -0.0906
  21       1.269e-01      -4.166e-01       4.621e-03         -0.0543
  22       1.466e-01      -4.166e-01       1.711e-03          0.0127
  23       1.572e-01      -4.166e-01       2.818e-04          0.0029
Strip 2
  24       1.572e-01      -4.155e-01      -1.023e-04          0.0211
  25       1.462e-01      -4.155e-01      -7.810e-04          0.0123
  26       1.260e-01      -4.155e-01      -2.252e-03         -0.0309
  27       9.955e-02      -4.155e-01      -3.855e-03         -0.0832
  28       7.094e-02      -4.155e-01      -4.787e-03         -0.1233
  29       4.451e-02      -4.155e-01      -4.708e-03         -0.1735
  30       2.428e-02      -4.155e-01      -3.523e-03         -0.2813
  31       1.334e-02      -4.155e-01      -1.439e-03         -0.2767
  32       1.334e-02      -4.155e-01       2.036e-03         -0.4446
  33       2.428e-02      -4.155e-01       6.368e-03         -0.3296
  34       4.451e-02      -4.155e-01       9.414e-03         -0.2119
  35       7.094e-02      -4.155e-01       1.004e-02         -0.1435
  36       9.955e-02      -4.155e-01       8.122e-03         -0.1024
  37       1.260e-01      -4.155e-01       4.755e-03         -0.0411
  38       1.462e-01      -4.155e-01       1.761e-03          0.0359
  39       1.572e-01      -4.155e-01       2.900e-04          0.0632
Strip 3
  40       1.571e-01      -4.133e-01      -1.049e-04          0.0830
  41       1.459e-01      -4.133e-01      -8.008e-04          0.0386
  42       1.251e-01      -4.133e-01      -2.309e-03         -0.0283
  43       9.802e-02      -4.133e-01      -3.953e-03         -0.0854
  44       6.868e-02      -4.133e-01      -4.908e-03         -0.1273
  45       4.158e-02      -4.133e-01      -4.828e-03         -0.1826
  46       2.084e-02      -4.133e-01      -3.613e-03         -0.3036
  47       9.617e-03      -4.133e-01      -1.475e-03         -0.3937
  48       9.617e-03      -4.133e-01       2.087e-03         -0.0176
  49       2.084e-02      -4.133e-01       6.530e-03         -0.1380
  50       4.158e-02      -4.133e-01       9.652e-03         -0.1655
  51       6.868e-02      -4.133e-01       1.029e-02         -0.1549
  52       9.802e-02      -4.133e-01       8.328e-03         -0.1131
  53       1.251e-01      -4.133e-01       4.876e-03         -0.0363
  54       1.459e-01      -4.133e-01       1.806e-03          0.0536
  55       1.571e-01      -4.133e-01       2.974e-04          0.1033
Strip 4
  56       1.570e-01      -4.102e-01      -1.070e-04          0.1086
  57       1.456e-01      -4.102e-01      -8.169e-04          0.0579
  58       1.244e-01      -4.102e-01      -2.356e-03         -0.0221
  59       9.676e-02      -4.102e-01      -4.033e-03         -0.0867
  60       6.684e-02      -4.102e-01      -5.007e-03         -0.1329
  61       3.919e-02      -4.102e-01      -4.925e-03         -0.1954
  62       1.803e-02      -4.102e-01      -3.686e-03         -0.3174
  63       6.581e-03      -4.102e-01      -1.505e-03         -0.5197
  64       6.581e-03      -4.102e-01       2.129e-03          0.3463
  65       1.803e-02      -4.102e-01       6.662e-03         -0.0760
  66       3.919e-02      -4.102e-01       9.847e-03         -0.1734
  67       6.684e-02      -4.102e-01       1.050e-02         -0.1714
  68       9.676e-02      -4.102e-01       8.496e-03         -0.1219
  69       1.244e-01      -4.102e-01       4.974e-03         -0.0331
  70       1.456e-01      -4.102e-01       1.842e-03          0.0665
  71       1.570e-01      -4.102e-01       3.034e-04          0.1243
Strip 5
  72       1.570e-01      -4.064e-01      -1.085e-04          0.1221
  73       1.454e-01      -4.064e-01      -8.283e-04          0.0689
  74       1.239e-01      -4.064e-01      -2.389e-03         -0.0180
  75       9.588e-02      -4.064e-01      -4.089e-03         -0.0880
  76       6.554e-02      -4.064e-01      -5.077e-03         -0.1396
  77       3.751e-02      -4.064e-01      -4.994e-03         -0.2071
  78       1.605e-02      -4.064e-01      -3.737e-03         -0.3335
  79       4.438e-03      -4.064e-01      -1.526e-03         -0.6338
  80       4.438e-03      -4.064e-01       2.159e-03          0.6024
  81       1.605e-02      -4.064e-01       6.755e-03         -0.0473
  82       3.751e-02      -4.064e-01       9.985e-03         -0.1863
  83       6.554e-02      -4.064e-01       1.065e-02         -0.1880
  84       9.588e-02      -4.064e-01       8.615e-03         -0.1297
  85       1.239e-01      -4.064e-01       5.043e-03         -0.0310
  86       1.454e-01      -4.064e-01       1.868e-03          0.0756
  87       1.570e-01      -4.064e-01       3.076e-04          0.1379
Strip 6
  88       1.570e-01      -4.022e-01      -1.093e-04          0.1239
  89       1.453e-01      -4.022e-01      -8.342e-04          0.0715
  90       1.237e-01      -4.022e-01      -2.406e-03         -0.0166
  91       9.542e-02      -4.022e-01      -4.118e-03         -0.0898
