XFLR5 v6.02 Beta

Rounded tunnel shape
T1-18.0 m/s-LLT-x0.000mm
QInf  =   18.000000 m/s
Alpha =    0.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.159237
Cy    =    0.000000
Cd    =    0.012784     ICd   =    0.001558     PCd   =    0.011226
Cl   =  -6.375e-18
Cm   =  -0.0797152
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.083276     YCP   =    0.000000 
XNP   =    0.000000
Bend. =    0.385639

Rounded tunnel shape
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom      CmAirf      XTrtop    XTrBot      XCP       BM
   -0.4118     0.1552    -1.305    0.043350    0.011420    0.000987   -0.045737   -0.033632     0.8557    0.9256    2.0455    0.0000
   -0.3965     0.1600    -1.032    0.078470    0.011296    0.001414   -0.053394   -0.033831     0.8448    0.9399    0.8469    0.0002
   -0.3715     0.1600    -0.866    0.108830    0.011291    0.001645   -0.063118   -0.035956     0.8398    0.9480    0.6139    0.0018
   -0.3373     0.1600    -0.739    0.133245    0.011270    0.001718   -0.071117   -0.037845     0.8358    0.9536    0.5678    0.0075
   -0.2948     0.1600    -0.640    0.152216    0.011254    0.001699   -0.077332   -0.039312     0.8328    0.9580    0.5320    0.0214
   -0.2450     0.1600    -0.565    0.166498    0.011242    0.001642   -0.082011   -0.040416     0.8304    0.9612    0.5051    0.0489
   -0.1893     0.1600    -0.511    0.176795    0.011233    0.001578   -0.085385   -0.041213     0.8288    0.9636    0.4856    0.0952
   -0.1288     0.1600    -0.473    0.183663    0.011223    0.001517   -0.087611   -0.041720     0.8276    0.9651    0.4787    0.1650
   -0.0652     0.1600    -0.451    0.187568    0.011217    0.001476   -0.088870   -0.042002     0.8269    0.9659    0.4763    0.2616
   -0.0000     0.1600    -0.444    0.188836    0.011215    0.001462   -0.089279   -0.042093     0.8266    0.9662    0.4755    0.3856
    0.0652     0.1600    -0.451    0.187568    0.011217    0.001476   -0.088870   -0.042002     0.8269    0.9659    0.4763    0.2616
    0.1288     0.1600    -0.473    0.183663    0.011223    0.001517   -0.087611   -0.041720     0.8276    0.9651    0.4787    0.1650
    0.1893     0.1600    -0.511    0.176795    0.011233    0.001578   -0.085385   -0.041213     0.8288    0.9636    0.4856    0.0952
    0.2450     0.1600    -0.565    0.166498    0.011242    0.001642   -0.082011   -0.040416     0.8304    0.9612    0.5051    0.0489
    0.2948     0.1600    -0.640    0.152216    0.011254    0.001699   -0.077332   -0.039312     0.8328    0.9580    0.5320    0.0214
    0.3373     0.1600    -0.739    0.133245    0.011270    0.001718   -0.071117   -0.037845     0.8358    0.9536    0.5678    0.0075
    0.3715     0.1600    -0.866    0.108830    0.011291    0.001645   -0.063118   -0.035956     0.8398    0.9480    0.6139    0.0018
    0.3965     0.1600    -1.032    0.078470    0.011296    0.001414   -0.053394   -0.033831     0.8448    0.9399    0.8469    0.0002
    0.4118     0.1552    -1.305    0.043350    0.011420    0.000987   -0.045737   -0.033632     0.8557    0.9256    2.0455    0.0000




