XFLR5 v6.02 Beta

Rounded tunnel shape
T1-18.0 m/s-Panel-x0.000mm
QInf  =   18.000000 m/s
Alpha =    0.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.109105
Cy    =    0.000000
Cd    =    0.012153     ICd   =    0.000719     PCd   =    0.011434
Cl   = 4.75617e-18
Cm   =  -0.0521886
ICn   =   -0.000000     PCn   =   -0.000000 
XCP   =    0.076538     YCP   =    0.000000 
XNP   =    0.000000
Bend. =    0.248679

Rounded tunnel shape
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom      CmAirf      XTrtop    XTrBot      XCP       BM
   -0.4176     0.1453    -2.529    0.011672    0.011970    0.000516   -0.042943   -0.015322     0.8694    0.8892    0.4391    0.0000
   -0.4162     0.1495    -0.900    0.022521    0.011713    0.000354   -0.027061   -0.008948     0.8633    0.9210    0.4033    0.0000
   -0.4139     0.1533    -0.860    0.032278    0.011507    0.000484   -0.025031   -0.011727     0.8589    0.9225    0.5069    0.0000
   -0.4107     0.1564    -0.807    0.041248    0.011352    0.000581   -0.025537   -0.014674     0.8548    0.9247    0.6196    0.0000
   -0.4069     0.1586    -0.747    0.049821    0.011259    0.000650   -0.027921   -0.017751     0.8513    0.9276    0.7049    0.0000
   -0.4026     0.1597    -0.688    0.058846    0.011238    0.000706   -0.032187   -0.021226     0.8487    0.9313    0.7414    0.0001
   -0.3833     0.1600    -0.637    0.072778    0.011274    0.000809   -0.037161   -0.023643     0.8458    0.9374    0.6898    0.0006
   -0.3500     0.1600    -0.540    0.088791    0.011310    0.000837   -0.044284   -0.026674     0.8430    0.9434    0.6305    0.0039
   -0.3167     0.1600    -0.469    0.099074    0.011302    0.000812   -0.048581   -0.028235     0.8413    0.9458    0.5984    0.0105
   -0.2833     0.1600    -0.418    0.106193    0.011296    0.000776   -0.051336   -0.029082     0.8402    0.9474    0.5779    0.0206
   -0.2500     0.1600    -0.381    0.111367    0.011291    0.000741   -0.053216   -0.029572     0.8394    0.9486    0.5636    0.0344
   -0.2167     0.1600    -0.353    0.115234    0.011288    0.000711   -0.054557   -0.029873     0.8387    0.9495    0.5534    0.0523
   -0.1833     0.1600    -0.332    0.118158    0.011286    0.000685   -0.055537   -0.030067     0.8382    0.9502    0.5459    0.0743
   -0.1500     0.1600    -0.317    0.120365    0.011284    0.000665   -0.056259   -0.030197     0.8379    0.9507    0.5403    0.1005
   -0.1167     0.1600    -0.305    0.122000    0.011282    0.000649   -0.056785   -0.030283     0.8376    0.9511    0.5363    0.1309
   -0.0833     0.1600    -0.297    0.123158    0.011281    0.000638   -0.057153   -0.030340     0.8374    0.9514    0.5335    0.1658
   -0.0500     0.1600    -0.291    0.123899    0.011281    0.000630   -0.057387   -0.030375     0.8373    0.9515    0.5317    0.2050
   -0.0167     0.1600    -0.289    0.124261    0.011280    0.000627   -0.057500   -0.030392     0.8373    0.9516    0.5308    0.2487
    0.0167     0.1600    -0.289    0.124261    0.011280    0.000627   -0.057500   -0.030392     0.8373    0.9516    0.5308    0.2487
    0.0500     0.1600    -0.291    0.123899    0.011281    0.000630   -0.057387   -0.030375     0.8373    0.9515    0.5317    0.2050
    0.0833     0.1600    -0.297    0.123158    0.011281    0.000638   -0.057153   -0.030340     0.8374    0.9514    0.5335    0.1658
    0.1167     0.1600    -0.305    0.122000    0.011282    0.000649   -0.056785   -0.030283     0.8376    0.9511    0.5363    0.1309
    0.1500     0.1600    -0.317    0.120365    0.011284    0.000665   -0.056259   -0.030197     0.8379    0.9507    0.5403    0.1005
    0.1833     0.1600    -0.332    0.118158    0.011286    0.000685   -0.055537   -0.030067     0.8382    0.9502    0.5459    0.0743
    0.2167     0.1600    -0.353    0.115234    0.011288    0.000711   -0.054557   -0.029873     0.8387    0.9495    0.5534    0.0523
    0.2500     0.1600    -0.381    0.111367    0.011291    0.000741   -0.053216   -0.029572     0.8394    0.9486    0.5636    0.0344
    0.2833     0.1600    -0.418    0.106193    0.011296    0.000776   -0.051336   -0.029082     0.8402    0.9474    0.5779    0.0206
    0.3167     0.1600    -0.469    0.099074    0.011302    0.000812   -0.048581   -0.028235     0.8413    0.9458    0.5984    0.0105
    0.3500     0.1600    -0.540    0.088791    0.011310    0.000837   -0.044284   -0.026674     0.8430    0.9434    0.6305    0.0039
    0.3833     0.1600    -0.637    0.072778    0.011274    0.000809   -0.037161   -0.023643     0.8458    0.9374    0.6898    0.0006
    0.4026     0.1597    -0.688    0.058846    0.011238    0.000706   -0.032187   -0.021226     0.8487    0.9313    0.7414    0.0001
    0.4069     0.1586    -0.747    0.049821    0.011259    0.000650   -0.027921   -0.017751     0.8513    0.9276    0.7049    0.0000
    0.4107     0.1564    -0.807    0.041248    0.011352    0.000581   -0.025537   -0.014674     0.8548    0.9247    0.6196    0.0000
    0.4139     0.1533    -0.860    0.032278    0.011507    0.000484   -0.025031   -0.011727     0.8589    0.9225    0.5069    0.0000
    0.4162     0.1495    -0.900    0.022521    0.011713    0.000354   -0.027061   -0.008948     0.8633    0.9210    0.4033    0.0000
    0.4176     0.1453    -2.529    0.011672    0.011970    0.000516   -0.042943   -0.015322     0.8694    0.8892    0.4391    0.0000


Wing Cp Coefficients
 Panel     CtrlPt.x        CtrlPt.y        CtrlPt.z             Cp
Rounded tunnel shapeCp Coefficients
Strip 1
   8       1.572e-01      -4.166e-01      -9.943e-05         -0.0295
   9       1.466e-01      -4.166e-01      -7.589e-04          0.0081
  10       1.269e-01      -4.166e-01      -2.188e-03         -0.0359
  11       1.013e-01      -4.166e-01      -3.746e-03         -0.0611
  12       7.346e-02      -4.166e-01      -4.652e-03         -0.0874
  13       4.777e-02      -4.166e-01      -4.575e-03         -0.1746
  14       2.812e-02      -4.166e-01      -3.424e-03         -0.3379
  15       1.748e-02      -4.166e-01      -1.398e-03         -0.4201
  16       1.748e-02      -4.166e-01       1.978e-03         -0.5425
  17       2.812e-02      -4.166e-01       6.188e-03         -0.5125
  18       4.777e-02      -4.166e-01       9.148e-03         -0.2805
  19       7.346e-02      -4.166e-01       9.755e-03         -0.1501
  20       1.013e-01      -4.166e-01       7.893e-03         -0.1937
  21       1.269e-01      -4.166e-01       4.621e-03         -0.1334
  22       1.466e-01      -4.166e-01       1.711e-03         -0.0431
  23       1.572e-01      -4.166e-01       2.818e-04         -0.0647
Strip 2
  24       1.572e-01      -4.155e-01      -1.023e-04          0.0462
  25       1.462e-01      -4.155e-01      -7.810e-04          0.0338
  26       1.260e-01      -4.155e-01      -2.252e-03         -0.0261
  27       9.955e-02      -4.155e-01      -3.855e-03         -0.0646
  28       7.094e-02      -4.155e-01      -4.787e-03         -0.0867
  29       4.451e-02      -4.155e-01      -4.708e-03         -0.1138
  30       2.428e-02      -4.155e-01      -3.523e-03         -0.1706
  31       1.334e-02      -4.155e-01      -1.439e-03         -0.1651
  32       1.334e-02      -4.155e-01       2.036e-03         -0.2913
  33       2.428e-02      -4.155e-01       6.368e-03         -0.2410
  34       4.451e-02      -4.155e-01       9.414e-03         -0.1863
  35       7.094e-02      -4.155e-01       1.004e-02         -0.1674
  36       9.955e-02      -4.155e-01       8.122e-03         -0.1245
  37       1.260e-01      -4.155e-01       4.755e-03         -0.0483
  38       1.462e-01      -4.155e-01       1.761e-03          0.0017
  39       1.572e-01      -4.155e-01       2.900e-04          0.0016
Strip 3
  40       1.571e-01      -4.133e-01      -1.049e-04          0.0955
  41       1.459e-01      -4.133e-01      -8.008e-04          0.0532
  42       1.251e-01      -4.133e-01      -2.309e-03         -0.0187
  43       9.802e-02      -4.133e-01      -3.953e-03         -0.0675
  44       6.868e-02      -4.133e-01      -4.908e-03         -0.0934
  45       4.158e-02      -4.133e-01      -4.828e-03         -0.1219
  46       2.084e-02      -4.133e-01      -3.613e-03         -0.1797
  47       9.617e-03      -4.133e-01      -1.475e-03         -0.1149
  48       9.617e-03      -4.133e-01       2.087e-03          0.0143
  49       2.084e-02      -4.133e-01       6.530e-03         -0.1853
  50       4.158e-02      -4.133e-01       9.652e-03         -0.2050
  51       6.868e-02      -4.133e-01       1.029e-02         -0.1867
  52       9.802e-02      -4.133e-01       8.328e-03         -0.1310
  53       1.251e-01      -4.133e-01       4.876e-03         -0.0464
  54       1.459e-01      -4.133e-01       1.806e-03          0.0325
  55       1.571e-01      -4.133e-01       2.974e-04          0.0800
Strip 4
  56       1.570e-01      -4.102e-01      -1.070e-04          0.1184
  57       1.456e-01      -4.102e-01      -8.169e-04          0.0679
  58       1.244e-01      -4.102e-01      -2.356e-03         -0.0120
  59       9.676e-02      -4.102e-01      -4.033e-03         -0.0684
  60       6.684e-02      -4.102e-01      -5.007e-03         -0.0994
  61       3.919e-02      -4.102e-01      -4.925e-03         -0.1348
  62       1.803e-02      -4.102e-01      -3.686e-03         -0.1862
  63       6.581e-03      -4.102e-01      -1.505e-03         -0.1426
  64       6.581e-03      -4.102e-01       2.129e-03          0.2577
  65       1.803e-02      -4.102e-01       6.662e-03         -0.1798
  66       3.919e-02      -4.102e-01       9.847e-03         -0.2312
  67       6.684e-02      -4.102e-01       1.050e-02         -0.2058
  68       9.676e-02      -4.102e-01       8.496e-03         -0.1391
  69       1.244e-01      -4.102e-01       4.974e-03         -0.0424
  70       1.456e-01      -4.102e-01       1.842e-03          0.0536
  71       1.570e-01      -4.102e-01       3.034e-04          0.1092
Strip 5
  72       1.570e-01      -4.064e-01      -1.085e-04          0.1326
  73       1.454e-01      -4.064e-01      -8.283e-04          0.0785
  74       1.239e-01      -4.064e-01      -2.389e-03         -0.0063
  75       9.588e-02      -4.064e-01      -4.089e-03         -0.0687
  76       6.554e-02      -4.064e-01      -5.077e-03         -0.1056
  77       3.751e-02      -4.064e-01      -4.994e-03         -0.1444
  78       1.605e-02      -4.064e-01      -3.737e-03         -0.1905
  79       4.438e-03      -4.064e-01      -1.526e-03         -0.1827
  80       4.438e-03      -4.064e-01       2.159e-03          0.4222
  81       1.605e-02      -4.064e-01       6.755e-03         -0.1835
  82       3.751e-02      -4.064e-01       9.985e-03         -0.2546
  83       6.554e-02      -4.064e-01       1.065e-02         -0.2250
  84       9.588e-02      -4.064e-01       8.615e-03         -0.1480
  85       1.239e-01      -4.064e-01       5.043e-03         -0.0415
  86       1.454e-01      -4.064e-01       1.868e-03          0.0642
  87       1.570e-01      -4.064e-01       3.076e-04          0.1233
Strip 6
  88       1.570e-01      -4.022e-01      -1.093e-04          0.1379
  89       1.453e-01      -4.022e-01      -8.342e-04          0.0864
  90       1.237e-01      -4.022e-01      -2.406e-03          0.0017
