XFLR5 v6.02 Beta

Rounded tunnel shape
T1-18.0 m/s-LLT-x0.000mm
QInf  =   18.000000 m/s
Alpha =    3.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.419191
Cy    =    0.000000
Cd    =    0.021764     ICd   =    0.011146     PCd   =    0.010618
Cl   = -2.35878e-17
Cm   =   -0.155203
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.058981     YCP   =    0.000000 
XNP   =    0.000000
Bend. =    1.037458

Rounded tunnel shape
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom      CmAirf      XTrtop    XTrBot      XCP       BM
   -0.4118     0.1552    -3.832    0.123923    0.011526    0.008288   -0.073054   -0.038283     0.8427    0.9524    0.5910    0.0000
   -0.3965     0.1600    -3.236    0.225032    0.011156    0.012710   -0.100951   -0.044705     0.8200    0.9739    0.4535    0.0006
   -0.3715     0.1600    -2.748    0.309599    0.010902    0.014849   -0.128582   -0.051171     0.8030    0.9906    0.4160    0.0052
   -0.3373     0.1600    -2.286    0.371997    0.010670    0.014839   -0.147008   -0.053983     0.7847    0.9991    0.3944    0.0214
   -0.2948     0.1600    -1.822    0.413650    0.010589    0.013153   -0.155989   -0.052544     0.7655    1.0000    0.3757    0.0608
   -0.2450     0.1600    -1.501    0.441371    0.010561    0.011562   -0.161825   -0.051451     0.7521    1.0000    0.3646    0.1370
   -0.1893     0.1600    -1.289    0.459652    0.010546    0.010339   -0.165401   -0.050460     0.7429    1.0000    0.3580    0.2637
   -0.1288     0.1600    -1.155    0.471144    0.010536    0.009501   -0.167646   -0.049837     0.7371    1.0000    0.3539    0.4523
   -0.0652     0.1600    -1.082    0.477473    0.010531    0.009017   -0.168883   -0.049493     0.7339    1.0000    0.3516    0.7098
   -0.0000     0.1600    -1.059    0.479489    0.010529    0.008859   -0.169277   -0.049384     0.7329    1.0000    0.3509    1.0375
    0.0652     0.1600    -1.082    0.477473    0.010531    0.009017   -0.168883   -0.049493     0.7339    1.0000    0.3516    0.7098
    0.1288     0.1600    -1.155    0.471144    0.010536    0.009501   -0.167646   -0.049837     0.7371    1.0000    0.3539    0.4523
    0.1893     0.1600    -1.289    0.459652    0.010546    0.010339   -0.165401   -0.050460     0.7429    1.0000    0.3580    0.2637
    0.2450     0.1600    -1.501    0.441371    0.010561    0.011562   -0.161825   -0.051451     0.7521    1.0000    0.3646    0.1370
    0.2948     0.1600    -1.822    0.413650    0.010589    0.013153   -0.155989   -0.052544     0.7655    1.0000    0.3757    0.0608
    0.3373     0.1600    -2.286    0.371997    0.010670    0.014839   -0.147008   -0.053983     0.7847    0.9991    0.3944    0.0214
    0.3715     0.1600    -2.748    0.309599    0.010902    0.014849   -0.128582   -0.051171     0.8030    0.9906    0.4160    0.0052
    0.3965     0.1600    -3.236    0.225032    0.011156    0.012710   -0.100951   -0.044705     0.8200    0.9739    0.4535    0.0006
    0.4118     0.1552    -3.832    0.123923    0.011526    0.008288   -0.073054   -0.038283     0.8427    0.9524    0.5910    0.0000




