XFLR5 v6.02 Beta

Rounded tunnel shape
T1-18.0 m/s-Panel-x0.000mm
QInf  =   18.000000 m/s
Alpha =    3.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.324813
Cy    =    0.000000
Cd    =    0.017303     ICd   =    0.006321     PCd   =    0.010982
Cl   =  2.3889e-17
Cm   =   -0.103774
ICn   =   -0.000000     PCn   =   -0.000000 
XCP   =    0.050589     YCP   =   -0.000000 
XNP   =    0.000000
Bend. =    0.733491

Rounded tunnel shape
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom      CmAirf      XTrtop    XTrBot      XCP       BM
   -0.4176     0.1453    -7.025    0.032926    0.011986    0.004084   -0.072403   -0.060457     0.8654    0.9269    2.0431    0.0000
   -0.4162     0.1495    -2.392    0.063792    0.011798    0.002671   -0.053837   -0.021265     0.8576    0.9357    0.4576    0.0000
   -0.4139     0.1533    -2.264    0.091478    0.011648    0.003625   -0.051071   -0.016046     0.8496    0.9448    0.3828    0.0000
   -0.4107     0.1564    -2.112    0.117054    0.011471    0.004325   -0.049828   -0.014689     0.8423    0.9506    0.3622    0.0000
   -0.4069     0.1586    -1.950    0.141675    0.011333    0.004832   -0.052641   -0.015860     0.8358    0.9559    0.3597    0.0001
   -0.4026     0.1597    -1.798    0.167818    0.011256    0.005277   -0.060845   -0.020065     0.8305    0.9616    0.3720    0.0003
   -0.3833     0.1600    -1.709    0.208436    0.011187    0.006227   -0.065702   -0.016098     0.8231    0.9704    0.3285    0.0016
   -0.3500     0.1600    -1.513    0.257828    0.011101    0.006820   -0.081104   -0.018621     0.8140    0.9809    0.3219    0.0112
   -0.3167     0.1600    -1.359    0.290822    0.010986    0.006909   -0.092062   -0.020744     0.8071    0.9872    0.3201    0.0301
   -0.2833     0.1600    -1.239    0.314200    0.010886    0.006805   -0.099792   -0.022175     0.8020    0.9915    0.3188    0.0594
   -0.2500     0.1600    -1.145    0.331398    0.010812    0.006633   -0.105391   -0.023133     0.7982    0.9946    0.3177    0.0998
   -0.2167     0.1600    -1.072    0.344321    0.010758    0.006448   -0.109534   -0.023787     0.7953    0.9969    0.3167    0.1521
   -0.1833     0.1600    -1.014    0.354115    0.010717    0.006275   -0.112632   -0.024242     0.7931    0.9986    0.3159    0.2167
   -0.1500     0.1600    -0.970    0.361510    0.010697    0.006126   -0.114946   -0.024561     0.7900    0.9990    0.3153    0.2939
   -0.1167     0.1600    -0.936    0.366985    0.010683    0.006004   -0.116646   -0.024784     0.7874    0.9992    0.3148    0.3841
   -0.0833     0.1600    -0.913    0.370858    0.010673    0.005912   -0.117841   -0.024934     0.7856    0.9993    0.3144    0.4873
   -0.0500     0.1600    -0.897    0.373337    0.010667    0.005851   -0.118602   -0.025027     0.7845    0.9993    0.3142    0.6037
   -0.0167     0.1600    -0.890    0.374546    0.010664    0.005820   -0.118973   -0.025072     0.7839    0.9994    0.3141    0.7335
    0.0167     0.1600    -0.890    0.374546    0.010664    0.005820   -0.118973   -0.025072     0.7839    0.9994    0.3141    0.7335
    0.0500     0.1600    -0.897    0.373337    0.010667    0.005851   -0.118602   -0.025027     0.7845    0.9993    0.3142    0.6037
    0.0833     0.1600    -0.913    0.370858    0.010673    0.005912   -0.117841   -0.024934     0.7856    0.9993    0.3144    0.4873
    0.1167     0.1600    -0.936    0.366985    0.010683    0.006004   -0.116646   -0.024784     0.7874    0.9992    0.3148    0.3841
    0.1500     0.1600    -0.970    0.361510    0.010697    0.006126   -0.114946   -0.024561     0.7900    0.9990    0.3153    0.2939
    0.1833     0.1600    -1.014    0.354115    0.010717    0.006275   -0.112632   -0.024242     0.7931    0.9986    0.3159    0.2167
    0.2167     0.1600    -1.072    0.344321    0.010758    0.006448   -0.109534   -0.023787     0.7953    0.9969    0.3167    0.1521
    0.2500     0.1600    -1.145    0.331398    0.010812    0.006633   -0.105391   -0.023133     0.7982    0.9946    0.3177    0.0998
    0.2833     0.1600    -1.239    0.314200    0.010886    0.006805   -0.099792   -0.022175     0.8020    0.9915    0.3188    0.0594
    0.3167     0.1600    -1.359    0.290822    0.010986    0.006909   -0.092062   -0.020744     0.8071    0.9872    0.3201    0.0301
    0.3500     0.1600    -1.513    0.257828    0.011101    0.006820   -0.081104   -0.018621     0.8140    0.9809    0.3219    0.0112
    0.3833     0.1600    -1.709    0.208436    0.011187    0.006227   -0.065702   -0.016098     0.8231    0.9704    0.3285    0.0016
    0.4026     0.1597    -1.798    0.167818    0.011256    0.005277   -0.060845   -0.020065     0.8305    0.9616    0.3720    0.0003
    0.4069     0.1586    -1.950    0.141675    0.011333    0.004832   -0.052641   -0.015860     0.8358    0.9559    0.3597    0.0001
    0.4107     0.1564    -2.112    0.117054    0.011471    0.004325   -0.049828   -0.014689     0.8423    0.9506    0.3622    0.0000
    0.4139     0.1533    -2.264    0.091478    0.011648    0.003625   -0.051071   -0.016046     0.8496    0.9448    0.3828    0.0000
    0.4162     0.1495    -2.392    0.063792    0.011798    0.002671   -0.053837   -0.021265     0.8576    0.9357    0.4576    0.0000
    0.4176     0.1453    -7.025    0.032926    0.011986    0.004084   -0.072403   -0.060457     0.8654    0.9269    2.0431    0.0000


Wing Cp Coefficients
 Panel     CtrlPt.x        CtrlPt.y        CtrlPt.z             Cp
Rounded tunnel shapeCp Coefficients
Strip 1
   8       1.572e-01      -4.166e-01      -9.943e-05         -0.8565
   9       1.466e-01      -4.166e-01      -7.589e-04         -0.2284
  10       1.269e-01      -4.166e-01      -2.188e-03         -0.0983
  11       1.013e-01      -4.166e-01      -3.746e-03         -0.1112
  12       7.346e-02      -4.166e-01      -4.652e-03         -0.2421
  13       4.777e-02      -4.166e-01      -4.575e-03         -0.5463
  14       2.812e-02      -4.166e-01      -3.424e-03         -0.8954
  15       1.748e-02      -4.166e-01      -1.398e-03         -0.7370
  16       1.748e-02      -4.166e-01       1.978e-03         -0.4123
  17       2.812e-02      -4.166e-01       6.188e-03         -0.3002
  18       4.777e-02      -4.166e-01       9.148e-03         -0.2245
  19       7.346e-02      -4.166e-01       9.755e-03         -0.4856
  20       1.013e-01      -4.166e-01       7.893e-03         -0.4673
  21       1.269e-01      -4.166e-01       4.621e-03         -0.3366
  22       1.466e-01      -4.166e-01       1.711e-03         -0.3655
  23       1.572e-01      -4.166e-01       2.818e-04         -0.9723
Strip 2
  24       1.572e-01      -4.155e-01      -1.023e-04         -0.3798
  25       1.462e-01      -4.155e-01      -7.810e-04         -0.1116
  26       1.260e-01      -4.155e-01      -2.252e-03         -0.0753
  27       9.955e-02      -4.155e-01      -3.855e-03         -0.0801
  28       7.094e-02      -4.155e-01      -4.787e-03         -0.0893
  29       4.451e-02      -4.155e-01      -4.708e-03         -0.1092
  30       2.428e-02      -4.155e-01      -3.523e-03         -0.1545
  31       1.334e-02      -4.155e-01      -1.439e-03         -0.2109
  32       1.334e-02      -4.155e-01       2.036e-03         -0.2381
  33       2.428e-02      -4.155e-01       6.368e-03         -0.2582
  34       4.451e-02      -4.155e-01       9.414e-03         -0.2528
  35       7.094e-02      -4.155e-01       1.004e-02         -0.2546
  36       9.955e-02      -4.155e-01       8.122e-03         -0.1847
  37       1.260e-01      -4.155e-01       4.755e-03         -0.1088
  38       1.462e-01      -4.155e-01       1.761e-03         -0.2001
  39       1.572e-01      -4.155e-01       2.900e-04         -0.5210
Strip 3
  40       1.571e-01      -4.133e-01      -1.049e-04         -0.0410
  41       1.459e-01      -4.133e-01      -8.008e-04         -0.0381
  42       1.251e-01      -4.133e-01      -2.309e-03         -0.0582
  43       9.802e-02      -4.133e-01      -3.953e-03         -0.0763
  44       6.868e-02      -4.133e-01      -4.908e-03         -0.0810
  45       4.158e-02      -4.133e-01      -4.828e-03         -0.0843
  46       2.084e-02      -4.133e-01      -3.613e-03         -0.0944
  47       9.617e-03      -4.133e-01      -1.475e-03          0.0456
  48       9.617e-03      -4.133e-01       2.087e-03         -0.0585
  49       2.084e-02      -4.133e-01       6.530e-03         -0.2829
  50       4.158e-02      -4.133e-01       9.652e-03         -0.2784
  51       6.868e-02      -4.133e-01       1.029e-02         -0.2454
  52       9.802e-02      -4.133e-01       8.328e-03         -0.1761
  53       1.251e-01      -4.133e-01       4.876e-03         -0.1050
  54       1.459e-01      -4.133e-01       1.806e-03         -0.0957
  55       1.571e-01      -4.133e-01       2.974e-04         -0.0976
Strip 4
  56       1.570e-01      -4.102e-01      -1.070e-04          0.0524
  57       1.456e-01      -4.102e-01      -8.169e-04          0.0147
  58       1.244e-01      -4.102e-01      -2.356e-03         -0.0389
  59       9.676e-02      -4.102e-01      -4.033e-03         -0.0707
  60       6.684e-02      -4.102e-01      -5.007e-03         -0.0800
  61       3.919e-02      -4.102e-01      -4.925e-03         -0.0873
  62       1.803e-02      -4.102e-01      -3.686e-03         -0.0767
  63       6.581e-03      -4.102e-01      -1.505e-03          0.1375
  64       6.581e-03      -4.102e-01       2.129e-03          0.0669
  65       1.803e-02      -4.102e-01       6.662e-03         -0.3113
  66       3.919e-02      -4.102e-01       9.847e-03         -0.3057
  67       6.684e-02      -4.102e-01       1.050e-02         -0.2556
  68       9.676e-02      -4.102e-01       8.496e-03         -0.1762
  69       1.244e-01      -4.102e-01       4.974e-03         -0.0882
  70       1.456e-01      -4.102e-01       1.842e-03         -0.0237
  71       1.570e-01      -4.102e-01       3.034e-04          0.0153
Strip 5
  72       1.570e-01      -4.064e-01      -1.085e-04          0.0884
  73       1.454e-01      -4.064e-01      -8.283e-04          0.0415
  74       1.239e-01      -4.064e-01      -2.389e-03         -0.0218
  75       9.588e-02      -4.064e-01      -4.089e-03         -0.0643
  76       6.554e-02      -4.064e-01      -5.077e-03         -0.0810
  77       3.751e-02      -4.064e-01      -4.994e-03         -0.0895
  78       1.605e-02      -4.064e-01      -3.737e-03         -0.0613
  79       4.438e-03      -4.064e-01      -1.526e-03          0.1784
  80       4.438e-03      -4.064e-01       2.159e-03          0.1388
  81       1.605e-02      -4.064e-01       6.755e-03         -0.3374
  82       3.751e-02      -4.064e-01       9.985e-03         -0.3319
  83       6.554e-02      -4.064e-01       1.065e-02         -0.2711
  84       9.588e-02      -4.064e-01       8.615e-03         -0.1802
  85       1.239e-01      -4.064e-01       5.043e-03         -0.0790
  86       1.454e-01      -4.064e-01       1.868e-03          0.0052
  87       1.570e-01      -4.064e-01       3.076e-04          0.0517
Strip 6
  88       1.570e-01      -4.022e-01      -1.093e-04          0.1131
  89       1.453e-01      -4.022e-01      -8.342e-04          0.0683
  90       1.237e-01      -4.022e-01      -2.406e-03          0.0014
