XFLR5 v6.02 Beta

Rounded tunnel shape
T1-18.0 m/s-Panel-x0.000mm
QInf  =   18.000000 m/s
Alpha =    9.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.748646
Cy    =    0.000000
Cd    =    0.045480     ICd   =    0.033544     PCd   =    0.011937
Cl   = 1.38235e-16
Cm   =   -0.204929
ICn   =   -0.000000     PCn   =   -0.000000 
XCP   =    0.042680     YCP   =   -0.000000 
XNP   =    0.000000
Bend. =    1.677856

Rounded tunnel shape
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom      CmAirf      XTrtop    XTrBot      XCP       BM
   -0.4176     0.1453   -15.491    0.072421    0.012037    0.020994   -0.192346   -0.180541     0.8607    0.9393    5.7034    0.0000
   -0.4162     0.1495    -5.286    0.143972    0.011806    0.013519   -0.120117   -0.049542     0.8464    0.9576    0.4742    0.0000
   -0.4139     0.1533    -4.990    0.206636    0.011521    0.018294   -0.106131   -0.025311     0.8316    0.9712    0.3401    0.0000
   -0.4107     0.1564    -4.645    0.264721    0.011243    0.021786   -0.098645   -0.014661     0.8170    0.9830    0.2950    0.0001
   -0.4069     0.1586    -4.284    0.320872    0.010912    0.024326   -0.101342   -0.011727     0.8021    0.9930    0.2808    0.0003
   -0.4026     0.1597    -3.955    0.380695    0.010659    0.026612   -0.116810   -0.017116     0.7813    0.9996    0.2901    0.0007
   -0.3833     0.1600    -3.791    0.473620    0.010534    0.031714   -0.121348   -0.000444     0.7358    1.0000    0.2468    0.0036
   -0.3500     0.1600    -3.405    0.588789    0.010651    0.035361   -0.153006   -0.001823     0.6728    1.0000    0.2489    0.0255
   -0.3167     0.1600    -3.090    0.666737    0.010875    0.036305   -0.177056   -0.004955     0.6226    1.0000    0.2532    0.0683
   -0.2833     0.1600    -2.836    0.722415    0.011036    0.036075   -0.194575   -0.007467     0.5773    1.0000    0.2560    0.1349
   -0.2500     0.1600    -2.633    0.763570    0.011283    0.035369   -0.207498   -0.009295     0.5325    1.0000    0.2577    0.2272
   -0.2167     0.1600    -2.470    0.794581    0.011569    0.034516   -0.217163   -0.010605     0.4891    1.0000    0.2588    0.3466
   -0.1833     0.1600    -2.342    0.818123    0.011938    0.033676   -0.224440   -0.011543     0.4487    1.0000    0.2595    0.4942
   -0.1500     0.1600    -2.242    0.835914    0.012216    0.032928   -0.229897   -0.012214     0.4182    1.0000    0.2600    0.6708
   -0.1167     0.1600    -2.166    0.849092    0.012601    0.032309   -0.233914   -0.012686     0.3877    1.0000    0.2603    0.8771
   -0.0833     0.1600    -2.112    0.858417    0.012878    0.031837   -0.236742   -0.013008     0.3660    1.0000    0.2605    1.1135
   -0.0500     0.1600    -2.076    0.864386    0.013055    0.031520   -0.238546   -0.013208     0.3521    1.0000    0.2606    1.3803
   -0.0167     0.1600    -2.059    0.867299    0.013142    0.031361   -0.239425   -0.013304     0.3453    1.0000    0.2607    1.6779
    0.0167     0.1600    -2.059    0.867299    0.013142    0.031361   -0.239425   -0.013304     0.3453    1.0000    0.2607    1.6779
    0.0500     0.1600    -2.076    0.864386    0.013055    0.031520   -0.238546   -0.013208     0.3521    1.0000    0.2606    1.3803
    0.0833     0.1600    -2.112    0.858417    0.012878    0.031837   -0.236742   -0.013008     0.3660    1.0000    0.2605    1.1135
    0.1167     0.1600    -2.166    0.849092    0.012601    0.032309   -0.233914   -0.012686     0.3877    1.0000    0.2603    0.8771
    0.1500     0.1600    -2.242    0.835914    0.012216    0.032928   -0.229897   -0.012214     0.4182    1.0000    0.2600    0.6708
    0.1833     0.1600    -2.342    0.818123    0.011938    0.033676   -0.224440   -0.011543     0.4487    1.0000    0.2595    0.4942
    0.2167     0.1600    -2.470    0.794581    0.011569    0.034516   -0.217163   -0.010605     0.4891    1.0000    0.2588    0.3466
    0.2500     0.1600    -2.633    0.763570    0.011283    0.035369   -0.207498   -0.009295     0.5325    1.0000    0.2577    0.2272
    0.2833     0.1600    -2.836    0.722415    0.011036    0.036075   -0.194575   -0.007467     0.5773    1.0000    0.2560    0.1349
    0.3167     0.1600    -3.090    0.666737    0.010875    0.036305   -0.177056   -0.004955     0.6226    1.0000    0.2532    0.0683
    0.3500     0.1600    -3.405    0.588789    0.010651    0.035361   -0.153006   -0.001823     0.6728    1.0000    0.2489    0.0255
    0.3833     0.1600    -3.791    0.473620    0.010534    0.031714   -0.121348   -0.000444     0.7358    1.0000    0.2468    0.0036
    0.4026     0.1597    -3.955    0.380695    0.010659    0.026612   -0.116810   -0.017116     0.7813    0.9996    0.2901    0.0007
    0.4069     0.1586    -4.284    0.320872    0.010912    0.024326   -0.101342   -0.011727     0.8021    0.9930    0.2808    0.0003
    0.4107     0.1564    -4.645    0.264721    0.011243    0.021786   -0.098645   -0.014661     0.8170    0.9830    0.2950    0.0001
    0.4139     0.1533    -4.990    0.206636    0.011521    0.018294   -0.106131   -0.025311     0.8316    0.9712    0.3401    0.0000
    0.4162     0.1495    -5.286    0.143972    0.011806    0.013519   -0.120117   -0.049542     0.8464    0.9576    0.4742    0.0000
    0.4176     0.1453   -15.491    0.072421    0.012037    0.020994   -0.192346   -0.180541     0.8607    0.9393    5.7034    0.0000


Wing Cp Coefficients
 Panel     CtrlPt.x        CtrlPt.y        CtrlPt.z             Cp
Rounded tunnel shapeCp Coefficients
Strip 1
   8       1.572e-01      -4.166e-01      -9.943e-05         -4.9416
   9       1.466e-01      -4.166e-01      -7.589e-04         -1.4904
  10       1.269e-01      -4.166e-01      -2.188e-03         -0.5983
  11       1.013e-01      -4.166e-01      -3.746e-03         -0.6079
  12       7.346e-02      -4.166e-01      -4.652e-03         -1.2077
  13       4.777e-02      -4.166e-01      -4.575e-03         -2.3606
  14       2.812e-02      -4.166e-01      -3.424e-03         -3.3675
  15       1.748e-02      -4.166e-01      -1.398e-03         -1.9182
  16       1.748e-02      -4.166e-01       1.978e-03         -0.3933
  17       2.812e-02      -4.166e-01       6.188e-03         -0.5807
  18       4.777e-02      -4.166e-01       9.148e-03         -1.5232
  19       7.346e-02      -4.166e-01       9.755e-03         -2.4553
  20       1.013e-01      -4.166e-01       7.893e-03         -1.5119
  21       1.269e-01      -4.166e-01       4.621e-03         -1.1055
  22       1.466e-01      -4.166e-01       1.711e-03         -1.7933
  23       1.572e-01      -4.166e-01       2.818e-04         -5.2586
Strip 2
  24       1.572e-01      -4.155e-01      -1.023e-04         -2.5616
  25       1.462e-01      -4.155e-01      -7.810e-04         -0.8953
  26       1.260e-01      -4.155e-01      -2.252e-03         -0.3328
  27       9.955e-02      -4.155e-01      -3.855e-03         -0.2126
  28       7.094e-02      -4.155e-01      -4.787e-03         -0.2113
  29       4.451e-02      -4.155e-01      -4.708e-03         -0.2643
  30       2.428e-02      -4.155e-01      -3.523e-03         -0.4061
  31       1.334e-02      -4.155e-01      -1.439e-03         -0.7709
  32       1.334e-02      -4.155e-01       2.036e-03         -0.4337
  33       2.428e-02      -4.155e-01       6.368e-03         -0.6075
  34       4.451e-02      -4.155e-01       9.414e-03         -0.6581
  35       7.094e-02      -4.155e-01       1.004e-02         -0.6149
  36       9.955e-02      -4.155e-01       8.122e-03         -0.4162
  37       1.260e-01      -4.155e-01       4.755e-03         -0.3862
  38       1.462e-01      -4.155e-01       1.761e-03         -1.0952
  39       1.572e-01      -4.155e-01       2.900e-04         -2.9218
Strip 3
  40       1.571e-01      -4.133e-01      -1.049e-04         -0.7540
  41       1.459e-01      -4.133e-01      -8.008e-04         -0.5334
  42       1.251e-01      -4.133e-01      -2.309e-03         -0.2818
  43       9.802e-02      -4.133e-01      -3.953e-03         -0.1737
  44       6.868e-02      -4.133e-01      -4.908e-03         -0.1207
  45       4.158e-02      -4.133e-01      -4.828e-03         -0.0798
  46       2.084e-02      -4.133e-01      -3.613e-03         -0.0432
  47       9.617e-03      -4.133e-01      -1.475e-03          0.0059
  48       9.617e-03      -4.133e-01       2.087e-03         -0.5144
  49       2.084e-02      -4.133e-01       6.530e-03         -0.6238
  50       4.158e-02      -4.133e-01       9.652e-03         -0.5237
  51       6.868e-02      -4.133e-01       1.029e-02         -0.4409
  52       9.802e-02      -4.133e-01       8.328e-03         -0.3454
  53       1.251e-01      -4.133e-01       4.876e-03         -0.3645
  54       1.459e-01      -4.133e-01       1.806e-03         -0.6670
  55       1.571e-01      -4.133e-01       2.974e-04         -0.9061
Strip 4
  56       1.570e-01      -4.102e-01      -1.070e-04         -0.3030
  57       1.456e-01      -4.102e-01      -8.169e-04         -0.2786
  58       1.244e-01      -4.102e-01      -2.356e-03         -0.2019
  59       9.676e-02      -4.102e-01      -4.033e-03         -0.1364
  60       6.684e-02      -4.102e-01      -5.007e-03         -0.0847
  61       3.919e-02      -4.102e-01      -4.925e-03         -0.0335
  62       1.803e-02      -4.102e-01      -3.686e-03          0.0723
  63       6.581e-03      -4.102e-01      -1.505e-03          0.3955
  64       6.581e-03      -4.102e-01       2.129e-03         -0.6115
  65       1.803e-02      -4.102e-01       6.662e-03         -0.6513
  66       3.919e-02      -4.102e-01       9.847e-03         -0.5013
  67       6.684e-02      -4.102e-01       1.050e-02         -0.3988
  68       9.676e-02      -4.102e-01       8.496e-03         -0.3081
  69       1.244e-01      -4.102e-01       4.974e-03         -0.2873
  70       1.456e-01      -4.102e-01       1.842e-03         -0.3674
  71       1.570e-01      -4.102e-01       3.034e-04         -0.4039
Strip 5
  72       1.570e-01      -4.064e-01      -1.085e-04         -0.1618
  73       1.454e-01      -4.064e-01      -8.283e-04         -0.1705
  74       1.239e-01      -4.064e-01      -2.389e-03         -0.1339
  75       9.588e-02      -4.064e-01      -4.089e-03         -0.0999
  76       6.554e-02      -4.064e-01      -5.077e-03         -0.0611
  77       3.751e-02      -4.064e-01      -4.994e-03         -0.0056
  78       1.605e-02      -4.064e-01      -3.737e-03          0.1500
  79       4.438e-03      -4.064e-01      -1.526e-03          0.6163
  80       4.438e-03      -4.064e-01       2.159e-03         -0.7242
  81       1.605e-02      -4.064e-01       6.755e-03         -0.6917
  82       3.751e-02      -4.064e-01       9.985e-03         -0.5100
  83       6.554e-02      -4.064e-01       1.065e-02         -0.3888
  84       9.588e-02      -4.064e-01       8.615e-03         -0.2851
  85       1.239e-01      -4.064e-01       5.043e-03         -0.2329
  86       1.454e-01      -4.064e-01       1.868e-03         -0.2520
  87       1.570e-01      -4.064e-01       3.076e-04         -0.2588
Strip 6
  88       1.570e-01      -4.022e-01      -1.093e-04         -0.0511
  89       1.453e-01      -4.022e-01      -8.342e-04         -0.0655
