XFLR5 v6.02 Beta

Rounded tunnel shape
T1-18.0 m/s-LLT-x0.000mm
QInf  =   18.000000 m/s
Alpha =   12.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.939786
Cy    =    0.000000
Cd    =    0.080991     ICd   =    0.057910     PCd   =    0.023081
Cl   = -4.80258e-17
Cm   =   -0.248956
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.041264     YCP   =    0.000000 
XNP   =    0.000000
Bend. =    2.372650

Rounded tunnel shape
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom      CmAirf      XTrtop    XTrBot      XCP       BM
   -0.4118     0.1552   -11.741    0.317729    0.011076    0.065107   -0.142222   -0.052929     0.8064    0.9928    0.4172    0.0000
   -0.3965     0.1600    -9.138    0.559825    0.010611    0.089286   -0.185288   -0.045374     0.6897    1.0000    0.3283    0.0015
   -0.3715     0.1600    -7.063    0.744867    0.011138    0.091824   -0.221883   -0.036118     0.5561    1.0000    0.2938    0.0130
   -0.3373     0.1600    -5.543    0.871244    0.013259    0.084292   -0.245204   -0.028402     0.3361    1.0000    0.2764    0.0526
   -0.2948     0.1600    -4.250    0.947842    0.018717    0.070312   -0.255865   -0.020438     0.0643    1.0000    0.2639    0.1469
   -0.2450     0.1600    -3.321    0.991638    0.023930    0.057477   -0.258742   -0.012768     0.0162    1.0000    0.2541    0.3263
   -0.1893     0.1600    -2.752    1.017297    0.026890    0.048859   -0.260348   -0.008249     0.0144    1.0000    0.2486    0.6201
   -0.1288     0.1600    -2.398    1.031518    0.028855    0.043177   -0.260971   -0.005501     0.0126    1.0000    0.2453    1.0520
   -0.0652     0.1600    -2.200    1.038324    0.030114    0.039862   -0.261113   -0.004038     0.0116    1.0000    0.2436    1.6357
   -0.0000     0.1600    -2.139    1.040393    0.030497    0.038845   -0.261155   -0.003594     0.0113    1.0000    0.2431    2.3727
    0.0652     0.1600    -2.200    1.038324    0.030114    0.039862   -0.261113   -0.004038     0.0116    1.0000    0.2436    1.6357
    0.1288     0.1600    -2.398    1.031518    0.028855    0.043177   -0.260971   -0.005501     0.0126    1.0000    0.2453    1.0520
    0.1893     0.1600    -2.752    1.017297    0.026890    0.048859   -0.260348   -0.008249     0.0144    1.0000    0.2486    0.6201
    0.2450     0.1600    -3.321    0.991638    0.023930    0.057477   -0.258742   -0.012768     0.0162    1.0000    0.2541    0.3263
    0.2948     0.1600    -4.250    0.947842    0.018717    0.070312   -0.255865   -0.020438     0.0643    1.0000    0.2639    0.1469
    0.3373     0.1600    -5.543    0.871244    0.013259    0.084292   -0.245204   -0.028402     0.3361    1.0000    0.2764    0.0526
    0.3715     0.1600    -7.063    0.744867    0.011138    0.091824   -0.221883   -0.036118     0.5561    1.0000    0.2938    0.0130
    0.3965     0.1600    -9.138    0.559825    0.010611    0.089286   -0.185288   -0.045374     0.6897    1.0000    0.3283    0.0015
    0.4118     0.1552   -11.741    0.317729    0.011076    0.065107   -0.142222   -0.052929     0.8064    0.9928    0.4172    0.0000




