  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	     rpm	     rho	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
       1	 15:28:58	  -4.000	   96.92	 1013.33	   22.39	  749.71	   1.194	   -7.55	  161.73	  178.14	  102.86	   39.37	   15.67	   -1.03	  -20.32	  -30.34	  -33.62	  -23.00	  -37.02	  -39.62	  -37.87	  -32.43	  -29.10	  -24.26	  -18.61	  -13.62	   -9.75	   -6.28	   -4.23	   -3.49	    6.06	   16.75	   -9.28	 -367.92	 -253.09	 -182.17	 -139.55	 -106.79	  -88.30	  -70.96	  -64.33	  -58.21	  -52.93	  -48.45	  -43.94	  -39.08	  -34.70	  -30.52	  -25.72	  -20.61	  -14.77	   -9.15	   -2.13	    4.72	   12.00	   16.75	  204.62	  204.52	  206.25	  207.54	  205.16	  205.21	  206.89	  205.58	  205.92	  206.27	  205.32	  205.54	  206.50	  206.35	  205.47	  206.64	  206.68	  207.45	  206.18	  206.79	  205.69	  204.39	  194.85	  183.02	  167.52	  167.35	  176.65	  187.19	  196.95	  204.75	  205.09	  205.55	  204.91	  205.93	  205.69	  205.03	  204.82	  205.48	  205.31	  206.11	  205.44	  205.21	  205.43	  204.96	  205.88	  204.48	  205.84	  204.89	   11.24	   10.04	   10.82	   10.69	   10.70	   11.28	   11.43	   11.37	   12.04	   11.65	   11.67	    9.22	    0.36	    0.10	    0.20	    0.23
       2	 15:29:41	  -2.000	   96.36	 1013.29	   22.45	  750.14	   1.194	  124.17	  153.19	  138.53	   55.97	    4.13	  -16.45	  -27.26	  -44.82	  -50.98	  -54.60	  -38.82	  -50.84	  -51.75	  -48.55	  -41.84	  -36.34	  -32.52	  -25.48	  -21.19	  -18.59	  -16.78	  -14.32	    6.76	   22.51	   14.86	  120.03	 -148.87	 -136.94	 -107.59	  -86.44	  -71.74	  -61.30	  -53.74	  -48.52	  -44.37	  -40.22	  -36.59	  -33.76	  -30.11	  -27.24	  -23.86	  -20.53	  -17.18	  -13.54	  -11.12	   -7.85	   -3.63	    6.91	   14.86	  203.41	  203.27	  204.74	  206.46	  203.87	  203.97	  205.70	  204.38	  204.72	  204.99	  204.22	  204.42	  205.18	  205.16	  204.07	  205.45	  205.54	  206.21	  204.86	  204.19	  197.82	  188.46	  176.40	  176.87	  178.72	  190.85	  197.85	  199.42	  201.79	  205.26	  204.21	  204.38	  203.92	  204.27	  204.63	  204.15	  203.87	  204.25	  204.29	  204.97	  204.56	  204.13	  204.34	  204.08	  204.87	  203.32	  204.31	  203.94	   10.93	   10.70	   11.37	   11.14	   11.00	   11.44	   11.06	   11.53	   12.01	   11.48	   11.46	    9.94	    0.14	    0.09	    0.18	    0.21
       3	 15:30:03	  -0.000	   97.47	 1013.34	   22.48	  749.73	   1.194	  198.04	  116.56	   76.46	   -1.64	  -41.18	  -57.74	  -61.93	  -72.84	  -78.21	  -76.24	  -60.30	  -67.58	  -66.52	  -61.64	  -53.27	  -47.16	  -44.74	  -37.67	  -35.37	  -31.93	  -31.59	    2.14	   14.18	   20.23	   21.82	  195.15	   30.27	  -28.34	  -40.50	  -38.74	  -36.30	  -31.12	  -28.98	  -26.70	  -25.07	  -23.25	  -21.30	  -19.84	  -17.53	  -15.50	  -13.19	  -10.39	   -7.17	   -3.34	   -0.36	    3.37	    6.01	    8.12	   21.82	  204.36	  204.05	  205.54	  207.22	  204.69	  204.59	  206.44	  205.14	  205.53	  205.98	  204.87	  205.15	  206.05	  205.99	  204.93	  205.92	  204.51	  202.02	  196.41	  189.99	  182.14	  181.30	  181.89	  189.44	  192.65	  200.79	  203.78	  201.68	  202.75	  206.09	  204.85	  205.14	  204.52	  204.53	  205.30	  204.80	  205.00	  205.01	  205.10	  205.67	  205.00	  204.75	  204.96	  204.76	  205.48	  204.05	  205.11	  204.56	   10.36	   11.23	   11.93	   11.49	    9.93	   11.99	    9.41	   11.70	   11.66	   10.99	   11.01	   10.70	    0.13	    0.14	    0.23	    0.26
       4	 15:30:24	   2.000	   98.17	 1013.30	   22.50	  750.00	   1.194	  197.64	   36.52	  -13.68	  -74.33	  -99.36	 -101.86	  -99.35	 -104.53	 -106.65	 -101.11	  -83.33	  -89.43	  -83.58	  -77.78	  -67.46	  -61.47	  -59.60	  -56.29	  -53.90	  -52.07	   -7.91	    2.05	    8.06	   14.72	   23.79	  195.29	  151.54	   66.20	   24.47	    6.42	    1.22	   -1.54	   -3.45	   -4.11	   -4.97	   -5.12	   -4.84	   -4.98	   -4.11	   -3.30	   -2.14	   -0.47	    1.84	    5.13	    7.87	   11.83	   15.13	   18.08	   23.79	  205.00	  204.82	  206.36	  207.80	  205.53	  205.49	  207.22	  205.90	  206.28	  206.68	  205.49	  205.90	  206.77	  206.68	  205.76	  206.45	  200.99	  188.76	  175.59	  175.39	  184.09	  195.33	  201.22	  206.60	  203.84	  207.17	  206.31	  202.84	  203.69	  206.81	  205.55	  205.81	  205.17	  206.29	  205.98	  205.57	  205.89	  205.78	  205.82	  206.39	  205.64	  205.49	  205.76	  205.73	  206.21	  204.64	  205.75	  205.26	    9.25	   11.54	   12.16	   11.51	   10.69	   11.66	   11.61	   11.08	   10.78	    9.98	    9.99	   11.28	   -0.18	    0.16	    0.25	    0.26
       5	 15:30:51	   4.000	   97.89	 1013.28	   22.51	  749.76	   1.194	   92.01	  -76.03	 -117.85	 -151.32	 -154.13	 -146.09	 -134.73	 -136.97	 -131.90	 -122.56	 -101.23	 -106.21	 -100.96	  -91.60	  -81.64	  -78.61	  -77.17	  -74.44	  -56.63	  -16.78	  -12.24	   -3.92	    3.99	   12.92	   25.94	   90.04	  197.34	  131.23	   73.66	   43.66	   30.85	   23.28	   18.38	   15.22	   12.30	   10.27	    8.96	    7.32	    6.98	    6.39	    6.43	    6.87	    7.98	   10.10	   11.79	   15.02	   18.00	   21.27	   25.94	  203.76	  203.60	  205.08	  206.54	  204.15	  204.28	  206.11	  204.77	  205.11	  205.37	  204.10	  204.58	  205.46	  205.53	  204.33	  205.71	  203.19	  192.28	  175.87	  171.69	  179.56	  191.42	  198.65	  204.94	  202.75	  205.86	  205.08	  201.64	  202.46	  205.60	  204.44	  204.71	  204.08	  204.19	  204.87	  204.34	  204.75	  204.62	  204.62	  205.26	  204.73	  204.34	  204.63	  204.46	  205.08	  203.54	  204.51	  204.01	    8.41	   11.59	   12.15	   11.37	   10.31	   11.20	   10.98	   10.38	   10.16	    9.22	    9.17	   11.51	   -0.69	    0.13	    0.19	    0.21
       6	 15:31:04	   4.000	   96.78	 1013.29	   22.53	  749.68	   1.194	   92.27	  -75.93	 -117.30	 -151.20	 -153.33	 -145.55	 -134.17	 -136.86	 -131.46	 -123.15	 -101.80	 -105.96	 -100.90	  -91.06	  -81.40	  -78.38	  -76.61	  -74.38	  -57.24	  -16.45	  -12.13	   -3.87	    3.87	   12.62	   25.77	   90.06	  197.07	  130.86	   73.64	   43.32	   30.57	   23.54	   18.34	   15.22	   12.30	   10.30	    8.94	    7.30	    6.96	    6.39	    6.42	    6.87	    7.97	   10.09	   11.78	   15.02	   17.95	   21.20	   25.77	  203.29	  203.16	  204.53	  206.16	  203.76	  203.86	  205.53	  204.18	  204.68	  204.93	  203.83	  204.19	  204.95	  205.11	  204.04	  205.10	  202.50	  191.82	  175.06	  170.98	  179.06	  191.24	  198.43	  204.38	  202.20	  205.36	  204.56	  201.13	  201.97	  205.08	  203.94	  204.26	  203.15	  203.81	  203.93	  203.43	  203.54	  203.52	  203.54	  204.07	  203.72	  203.49	  203.43	  203.43	  204.15	  202.64	  203.42	  203.13	    8.14	   11.37	   11.91	   11.13	   10.07	   10.97	   10.83	   10.22	    9.90	    8.98	    8.95	   11.21	   -0.72	    0.13	    0.21	    0.24
       7	 15:31:14	   6.231	   97.40	 1013.30	   22.53	  750.15	   1.194	 -173.07	 -218.87	 -251.03	 -241.46	 -219.44	 -196.63	 -176.15	 -169.75	 -160.42	 -149.50	 -123.75	 -126.40	 -120.66	 -111.04	 -101.84	  -99.05	  -73.75	  -47.69	  -40.07	  -30.45	  -20.82	   -8.51	    1.16	   10.96	   24.77	 -173.07	  191.48	  177.08	  119.11	   81.81	   61.88	   50.37	   42.34	   36.89	   31.68	   27.92	   25.01	   22.05	   20.40	   18.48	   17.47	   16.73	   16.77	   17.95	   18.60	   20.84	   23.02	   25.65	   24.77	  203.84	  203.73	  205.28	  206.74	  204.37	  204.34	  206.05	  204.87	  205.41	  205.58	  204.10	  204.85	  205.62	  205.56	  204.48	  204.49	  198.26	  185.52	  170.83	  171.18	  182.98	  195.78	  201.26	  205.45	  202.84	  206.02	  205.17	  201.69	  202.48	  205.65	  204.37	  204.58	  203.87	  204.08	  204.66	  203.99	  204.31	  204.26	  204.25	  204.93	  204.38	  203.96	  204.26	  204.17	  204.74	  203.27	  204.15	  203.80	    7.86	   12.24	   12.74	   11.78	   10.49	   11.30	   11.19	   10.38	    9.92	    8.79	    8.75	   12.32	   -0.43	    0.12	    0.21	    0.24
       8	 15:31:32	   8.000	   99.27	 1013.31	   22.55	  750.57	   1.194	 -506.84	 -385.82	 -382.62	 -328.16	 -280.50	 -243.92	 -215.27	 -204.09	 -193.29	 -175.52	 -141.77	 -135.59	 -126.02	 -114.07	  -99.03	  -88.55	  -75.76	  -63.19	  -50.29	  -37.91	  -26.41	  -11.71	   -1.43	    8.11	   21.05	 -508.18	  143.81	  200.86	  149.74	  109.53	   86.84	   70.40	   60.92	   53.88	   47.08	   41.73	   37.66	   33.48	   30.72	   27.98	   25.82	   24.18	   23.34	   23.53	   23.26	   24.78	   25.94	   27.84	   21.05	  205.54	  205.37	  206.82	  208.23	  205.96	  205.89	  207.69	  206.35	  207.20	  207.20	  205.52	  206.44	  207.16	  207.01	  206.42	  207.32	  206.81	  202.11	  183.07	  163.72	  162.00	  177.24	  193.99	  206.01	  204.54	  207.71	  206.70	  203.42	  203.93	  207.30	  206.04	  206.25	  205.26	  205.54	  206.15	  205.48	  205.95	  205.75	  205.83	  206.39	  205.88	  205.68	  206.00	  205.79	  206.36	  205.10	  206.02	  205.37	    7.26	   12.37	   12.86	   11.83	   10.34	   11.03	   10.94	   10.10	    9.55	    8.25	    8.25	   12.58	   -0.26	    0.12	    0.19	    0.22
       9	 15:31:46	  10.000	   97.24	 1013.31	   22.56	  750.53	   1.194	 -865.46	 -483.42	 -528.78	 -491.24	 -290.64	 -268.73	 -234.17	 -216.40	 -200.92	 -180.89	 -150.82	 -146.65	 -134.57	 -119.36	 -101.92	  -90.19	  -75.48	  -61.91	  -48.76	  -35.74	  -25.44	  -13.18	   -5.09	    0.79	   12.28	 -869.65	   64.77	  202.14	  170.19	  130.67	  105.62	   89.31	   77.05	   68.54	   60.32	   53.81	   48.67	   43.31	   39.54	   35.79	   32.69	   30.06	   28.19	   27.38	   26.05	   26.44	   26.41	   26.98	   12.28	  203.69	  203.58	  205.03	  206.49	  204.15	  204.06	  205.84	  204.65	  205.56	  205.27	  204.01	  204.52	  205.34	  205.30	  203.43	  200.37	  189.16	  175.43	  162.69	  160.06	  169.19	  182.41	  191.57	  200.71	  201.17	  205.75	  205.09	  201.53	  202.41	  205.56	  204.50	  204.62	  203.89	  203.24	  204.73	  204.06	  204.50	  204.34	  204.32	  205.08	  204.38	  204.21	  204.34	  204.32	  204.82	  203.95	  204.31	  203.93	    6.98	   12.79	   13.31	   12.08	   10.03	   10.78	   10.49	   10.10	    9.51	    8.07	    8.03	   13.11	   -0.06	    0.12	    0.20	    0.23
